Time,GuHCl_Denature_A214,GuHCl_Denature_A280,Histone_A214,Histone_A280,Histone_Heat_Denatured_A214,Histone_Heat_Denatured_A280,GuHCl_Refolded_A214,GuHCl_Refolded_A280,SEC_Standard_A214,SEC_Standard_A280
0.3708333333,-14.70279694,-0.3819465637,-3.18479538,0.1440048218,-0.3023147583,0.084400177,-0.4487037659,0.06914138794,0.3747940063,0.2031326294
0.3775,-15.43474197,-0.3871917725,-3.182411194,0.1473426819,-0.2927780151,0.08487701416,-0.5083084106,0.06723403931,0.3986358643,0.2045631409
0.3841666667,-16.17336273,-0.3914833069,-3.177642822,0.1516342163,-0.3037452698,0.08726119995,-0.5574226379,0.06532669067,0.4272460938,0.2064704895
0.3908333333,-16.89910889,-0.3938674927,-3.20148468,0.1535415649,-0.3099441528,0.08916854858,-0.5741119385,0.06484985352,0.4534721375,0.2083778381
0.3975,-17.61484146,-0.3962516785,-3.223896027,0.1521110535,-0.3051757813,0.08916854858,-0.5645751953,0.06580352783,0.4677772522,0.207901001
0.4041666667,-18.29814911,-0.3991127014,-3.231048584,0.1511573792,-0.3137588501,0.08678436279,-0.5583763123,0.06628036499,0.4711151123,0.207901001
0.4108333333,-18.94712448,-0.4005432129,-3.225326538,0.150680542,-0.3337860107,0.084400177,-0.5559921265,0.06675720215,0.452041626,0.2074241638
0.4175,-19.57321167,-0.4005432129,-3.209590912,0.1502037048,-0.3609657288,0.08296966553,-0.5617141724,0.06771087646,0.4348754883,0.2093315125
0.4241666667,-20.154953,-0.4019737244,-3.201961517,0.1492500305,-0.3652572632,0.08153915405,-0.5640983582,0.06866455078,0.4096031189,0.2121925354
0.4308333333,-20.70188522,-0.4043579102,-3.176689148,0.1482963562,-0.3600120544,0.08058547974,-0.5803108215,0.0696182251,0.3952980042,0.2160072327
0.4375,-21.19970322,-0.4076957703,-3.149032593,0.1487731934,-0.35572052,0.08010864258,-0.5989074707,0.0696182251,0.3967285156,0.2212524414
0.4441666667,-21.67606354,-0.4119873047,-3.129482269,0.1497268677,-0.3437995911,0.08344650269,-0.593662262,0.06866455078,0.4177093506,0.2255439758
0.4508333333,-22.13001251,-0.4177093506,-3.133773804,0.150680542,-0.3290176392,0.08726119995,-0.5798339844,0.06818771362,0.4587173462,0.2307891846
0.4575,-22.54247665,-0.4234313965,-3.15952301,0.1502037048,-0.3042221069,0.0901222229,-0.560760498,0.06580352783,0.4997253418,0.2355575562
0.4641666667,-22.9101181,-0.4277229309,-3.176689148,0.1492500305,-0.2908706665,0.09059906006,-0.5497932434,0.06437301636,0.5431175232,0.2393722534
0.4708333333,-23.23246002,-0.4315376282,-3.20482254,0.1487731934,-0.2827644348,0.09202957153,-0.5297660828,0.06198883057,0.5688667297,0.2417564392
0.4775,-23.52333069,-0.4348754883,-3.244400024,0.1502037048,-0.2794265747,0.09441375732,-0.5006790161,0.06198883057,0.5712509155,0.2431869507
0.4841666667,-23.76508713,-0.4377365112,-3.291606903,0.1521110535,-0.2818107605,0.09489059448,-0.4901885986,0.06341934204,0.5593299866,0.2474784851
0.4908333333,-23.95248413,-0.440120697,-3.324508667,0.1530647278,-0.2703666687,0.09489059448,-0.4901885986,0.06532669067,0.5393028259,0.2517700195
0.4975,-24.10316467,-0.4410743713,-3.335952759,0.1525878906,-0.2698898315,0.0958442688,-0.5030632019,0.06723403931,0.5254745483,0.2551078796
0.5041666667,-24.21617508,-0.4415512085,-3.341674805,0.1516342163,-0.271320343,0.09870529175,-0.5121231079,0.06628036499,0.5025863647,0.2574920654
0.5108333333,-24.30486679,-0.440120697,-3.327846527,0.1516342163,-0.2875328064,0.1001358032,-0.527381897,0.06484985352,0.4744529724,0.2617835999
0.5175,-24.36065674,-0.4391670227,-3.304958344,0.1492500305,-0.3051757813,0.09965896606,-0.5559921265,0.06341934204,0.4477500916,0.2665519714
0.5241666667,-24.3973732,-0.440120697,-3.265380859,0.1459121704,-0.3113746643,0.09632110596,-0.5793571472,0.06294250488,0.4243850708,0.2698898315
0.5308333333,-24.41835403,-0.4439353943,-3.235816956,0.1444816589,-0.3266334534,0.09298324585,-0.6003379822,0.06151199341,0.412940979,0.2737045288
0.5375,-24.40166473,-0.449180603,-3.23009491,0.1444816589,-0.3290176392,0.09059906006,-0.6031990051,0.05912780762,0.4019737244,0.2779960632
0.5441666667,-24.35827255,-0.4558563232,-3.240585327,0.1454353333,-0.3237724304,0.08964538574,-0.6051063538,0.05865097046,0.4100799561,0.2822875977
0.5508333333,-24.26815033,-0.4615783691,-3.267288208,0.1454353333,-0.307559967,0.08869171143,-0.6079673767,0.05865097046,0.4391670227,0.2865791321
0.5575,-24.15180206,-0.4658699036,-3.28874588,0.1459121704,-0.3080368042,0.08821487427,-0.6189346313,0.05865097046,0.4835128784,0.2908706665
0.5641666667,-23.99158478,-0.4687309265,-3.313064575,0.1473426819,-0.3380775452,0.08916854858,-0.6465911865,0.05865097046,0.5278587341,0.2961158752
0.5708333333,-23.79417419,-0.470161438,-3.333091736,0.1473426819,-0.3633499146,0.0901222229,-0.6623268127,0.05960464478,0.5521774292,0.2999305725
0.5775,-23.57196808,-0.4725456238,-3.338336945,0.1482963562,-0.3786087036,0.08964538574,-0.6799697876,0.06246566772,0.5745887756,0.3042221069
0.5841666667,-23.3206749,-0.4754066467,-3.331661224,0.1492500305,-0.3809928894,0.08821487427,-0.6904602051,0.06628036499,0.5841255188,0.31042099
0.5908333333,-23.0550766,-0.4787445068,-3.302574158,0.1521110535,-0.3871917725,0.08630752563,-0.702381134,0.06914138794,0.5779266357,0.3170967102
0.5975,-22.77088165,-0.4825592041,-3.285884857,0.1535415649,-0.3852844238,0.08487701416,-0.7100105286,0.06914138794,0.5488395691,0.3237724304
0.6041666667,-22.48859406,-0.4873275757,-3.279209137,0.1535415649,-0.3700256348,0.08392333984,-0.6990432739,0.06675720215,0.509262085,0.3294944763
0.6108333333,-22.20010757,-0.4916191101,-3.27539444,0.1544952393,-0.358581543,0.08296966553,-0.6914138794,0.06532669067,0.4825592041,0.337600708
0.6175,-21.88825607,-0.4940032959,-3.278255463,0.1544952393,-0.3499984741,0.08296966553,-0.675201416,0.06532669067,0.4625320435,0.3457069397
0.6241666667,-21.55923843,-0.4959106445,-3.28874588,0.1554489136,-0.3542900085,0.08392333984,-0.6723403931,0.06675720215,0.467300415,0.3538131714
0.6308333333,-21.20447159,-0.4968643188,-3.322124481,0.1544952393,-0.3552436829,0.08726119995,-0.6709098816,0.06771087646,0.4863739014,0.3600120544
0.6375,-20.83873749,-0.4968643188,-3.329753876,0.1540184021,-0.3581047058,0.09202957153,-0.678062439,0.06866455078,0.515460968,0.3652572632
0.6441666667,-20.44916153,-0.4963874817,-3.309726715,0.1540184021,-0.3552436829,0.09679794312,-0.6856918335,0.06866455078,0.5474090576,0.3705024719
0.6508333333,-20.04480362,-0.4949569702,-3.28874588,0.1535415649,-0.3514289856,0.1006126404,-0.6904602051,0.06723403931,0.5674362183,0.3752708435
0.6575,-19.63949203,-0.4935264587,-3.273963928,0.1530647278,-0.3662109375,0.1034736633,-0.6980895996,0.0638961792,0.5893707275,0.3795623779
